Namespace(activation='maxmin', batch_size=500, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar100', epochs=200, epsilon=36, init_channels=32, l='l2', lln=False, loss_scale='1.0', lr_max=0.01, lr_min=0.0, momentum=0.9, n=10000, opt_level='O2', out_dir='ISO_cifar100_l2_4_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Valid Loss
92 	 16.6 	 0.0100 	 -3.0536 	 -1.0150
93 	 16.6 	 0.0100 	 -5.4393 	 -1.0007
94 	 16.5 	 0.0100 	 -2.0212 	 -0.9887
95 	 17.3 	 0.0100 	 -1.7735 	 -1.0964
96 	 16.6 	 0.0100 	 -4.2022 	 -1.0104
97 	 16.6 	 0.0100 	 -3.7344 	 -1.0044
98 	 16.6 	 0.0100 	 -2.4284 	 -1.0666
99 	 17.9 	 0.0010 	 -6.0292 	 -1.2062
100 	 18.5 	 0.0010 	 -4.8154 	 -1.2423
101 	 16.6 	 0.0010 	 -7.3686 	 -1.2385
102 	 17.4 	 0.0010 	 -5.2933 	 -1.2463
103 	 16.6 	 0.0010 	 -3.3322 	 -1.2305
104 	 17.4 	 0.0010 	 -3.6444 	 -1.2540
105 	 18.2 	 0.0010 	 -3.7931 	 -1.2566
106 	 16.6 	 0.0010 	 -3.8686 	 -1.2356
107 	 16.5 	 0.0010 	 -2.8002 	 -1.2380
108 	 16.5 	 0.0010 	 -3.4267 	 -1.2292
109 	 16.5 	 0.0010 	 -4.9897 	 -1.2162
110 	 17.4 	 0.0010 	 -2.3463 	 -1.2109
111 	 16.5 	 0.0010 	 -3.5205 	 -1.2278
112 	 16.6 	 0.0010 	 -4.7464 	 -1.2322
113 	 16.4 	 0.0010 	 -4.4105 	 -1.2473
114 	 17.9 	 0.0010 	 -5.1954 	 -1.2599
115 	 17.4 	 0.0010 	 -4.1387 	 -1.2538
116 	 16.5 	 0.0010 	 -5.2245 	 -1.2409
117 	 16.7 	 0.0010 	 -3.2818 	 -1.2393
118 	 16.6 	 0.0010 	 -4.4426 	 -1.2532
119 	 16.5 	 0.0010 	 -3.1802 	 -1.2192
120 	 17.3 	 0.0010 	 -2.4897 	 -1.2016
121 	 16.5 	 0.0010 	 -2.9081 	 -1.1785
122 	 16.5 	 0.0010 	 -3.3901 	 -1.2263
123 	 16.5 	 0.0010 	 -4.9022 	 -1.2276
124 	 16.5 	 0.0010 	 -3.2198 	 -1.2381
125 	 17.3 	 0.0010 	 -4.7148 	 -1.2380
126 	 16.5 	 0.0010 	 -4.0752 	 -1.2047
127 	 16.5 	 0.0010 	 -6.2307 	 -1.2483
128 	 16.5 	 0.0010 	 -5.0796 	 -1.2392
129 	 16.5 	 0.0010 	 -4.8247 	 -1.2422
130 	 17.4 	 0.0010 	 -6.4709 	 -1.2397
131 	 16.5 	 0.0010 	 -3.1624 	 -1.2498
132 	 16.5 	 0.0010 	 -2.0594 	 -1.2562
133 	 16.6 	 0.0010 	 -5.9561 	 -1.2306
134 	 16.6 	 0.0010 	 -4.2948 	 -1.2115
135 	 17.3 	 0.0010 	 -6.0715 	 -1.1864
136 	 16.6 	 0.0010 	 -2.8721 	 -1.2008
137 	 16.6 	 0.0010 	 -3.4836 	 -1.2107
138 	 16.6 	 0.0010 	 -2.6791 	 -1.2042
139 	 16.6 	 0.0010 	 -4.8295 	 -1.1972
140 	 17.3 	 0.0010 	 -4.4998 	 -1.1853
141 	 16.6 	 0.0010 	 -2.4457 	 -1.1659
142 	 16.5 	 0.0010 	 -4.5043 	 -1.1759
143 	 16.5 	 0.0010 	 -2.6478 	 -1.1751
144 	 16.5 	 0.0010 	 -5.3557 	 -1.2050
145 	 17.3 	 0.0010 	 -4.0334 	 -1.1969
146 	 16.5 	 0.0010 	 -4.4384 	 -1.2350
147 	 16.5 	 0.0010 	 -5.0573 	 -1.2559
148 	 16.5 	 0.0010 	 -4.3286 	 -1.2452
149 	 16.5 	 0.0001 	 -1.9837 	 -1.2583
150 	 17.3 	 0.0001 	 -6.0085 	 -1.2591
151 	 16.5 	 0.0001 	 -4.3540 	 -1.2540
152 	 16.6 	 0.0001 	 -4.3217 	 -1.2532
153 	 17.7 	 0.0001 	 -7.9673 	 -1.2615
154 	 17.9 	 0.0001 	 -4.7147 	 -1.2618
155 	 17.3 	 0.0001 	 -6.7264 	 -1.2603
156 	 16.5 	 0.0001 	 -2.7703 	 -1.2571
157 	 16.6 	 0.0001 	 -3.4781 	 -1.2607
158 	 17.8 	 0.0001 	 -3.3897 	 -1.2629
159 	 16.5 	 0.0001 	 -3.6774 	 -1.2590
160 	 17.4 	 0.0001 	 -2.5297 	 -1.2495
161 	 16.6 	 0.0001 	 -5.7151 	 -1.2480
162 	 16.6 	 0.0001 	 -3.2172 	 -1.2513
163 	 16.6 	 0.0001 	 -5.1695 	 -1.2473
164 	 16.6 	 0.0001 	 -3.2010 	 -1.2442
165 	 17.4 	 0.0001 	 -2.2123 	 -1.2535
166 	 16.5 	 0.0001 	 -3.3957 	 -1.2617
167 	 16.5 	 0.0001 	 -4.6930 	 -1.2605
168 	 16.6 	 0.0001 	 -2.7034 	 -1.2572
169 	 16.6 	 0.0001 	 -2.6090 	 -1.2483
170 	 18.6 	 0.0001 	 -5.6721 	 -1.2674
171 	 16.6 	 0.0001 	 -4.5367 	 -1.2614
172 	 16.5 	 0.0001 	 -3.7034 	 -1.2535
173 	 16.5 	 0.0001 	 -2.8960 	 -1.2671
174 	 16.6 	 0.0001 	 -2.5917 	 -1.2596
175 	 17.3 	 0.0001 	 -5.5649 	 -1.2660
176 	 16.6 	 0.0001 	 -5.2749 	 -1.2670
177 	 16.6 	 0.0001 	 -3.7649 	 -1.2484
178 	 16.6 	 0.0001 	 -2.8104 	 -1.2560
179 	 16.6 	 0.0001 	 -6.4038 	 -1.2517
180 	 17.3 	 0.0001 	 -4.5550 	 -1.2521
181 	 16.5 	 0.0001 	 -8.9294 	 -1.2532
182 	 16.6 	 0.0001 	 -2.1049 	 -1.2488
183 	 16.6 	 0.0001 	 -5.3800 	 -1.2527
184 	 16.5 	 0.0001 	 -5.6971 	 -1.2496
185 	 17.4 	 0.0001 	 -3.1953 	 -1.2495
186 	 16.5 	 0.0001 	 -3.9923 	 -1.2524
187 	 16.6 	 0.0001 	 -5.3490 	 -1.2481
188 	 16.7 	 0.0001 	 -3.7229 	 -1.2546
189 	 16.6 	 0.0001 	 -2.0729 	 -1.2488
190 	 17.3 	 0.0001 	 -5.5730 	 -1.2457
191 	 16.5 	 0.0001 	 -4.1933 	 -1.2481
192 	 16.6 	 0.0001 	 -4.6291 	 -1.2447
193 	 16.5 	 0.0001 	 -2.3283 	 -1.2513
194 	 16.6 	 0.0001 	 -4.7819 	 -1.2439
195 	 17.4 	 0.0001 	 -3.2244 	 -1.2446
196 	 16.6 	 0.0001 	 -3.1375 	 -1.2417
197 	 16.6 	 0.0001 	 -2.4742 	 -1.2455
198 	 16.6 	 0.0001 	 -3.7015 	 -1.2450
199 	 16.6 	 0.0001 	 -5.2556 	 -1.2402
Total train time: 60.5984 minutes
Best Epoch 	 Valid Loss 	 Test Time
170 	 -1.2638 	 15.8371
Last Epoch 	 Valid Loss 	 Test Time
199 	 -1.2453 	 15.8799
