Namespace(activation='maxmin', batch_size=500, block_size=4, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=200, epsilon=36, init_channels=32, l='l2', lln=False, loss_scale='1.0', lr_max=0.01, lr_min=0.0, momentum=0.9, n=10000, opt_level='O2', out_dir='ISO_cifar10_l2_4_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss 	 Valid Loss
107 	 17.5 	 0.0010 	 -3.4784 	 -0.6318
108 	 16.5 	 0.0010 	 -3.0551 	 -0.6182
109 	 16.5 	 0.0010 	 -3.7850 	 -0.6205
110 	 17.3 	 0.0010 	 -4.5327 	 -0.6221
111 	 16.5 	 0.0010 	 -2.0900 	 -0.6175
112 	 17.4 	 0.0010 	 -4.6768 	 -0.6343
113 	 16.5 	 0.0010 	 -5.8010 	 -0.6312
114 	 16.4 	 0.0010 	 -3.0987 	 -0.6220
115 	 18.0 	 0.0010 	 -3.5087 	 -0.6383
116 	 17.0 	 0.0010 	 -3.4430 	 -0.6446
117 	 16.5 	 0.0010 	 -4.8700 	 -0.6106
118 	 16.5 	 0.0010 	 -1.6996 	 -0.6004
119 	 16.5 	 0.0010 	 -3.4686 	 -0.6162
120 	 17.2 	 0.0010 	 -2.0418 	 -0.6273
121 	 16.4 	 0.0010 	 -1.7390 	 -0.6303
122 	 16.4 	 0.0010 	 -2.5236 	 -0.6341
123 	 16.4 	 0.0010 	 -2.2050 	 -0.6358
124 	 16.4 	 0.0010 	 -5.0524 	 -0.6391
125 	 17.9 	 0.0010 	 -2.9984 	 -0.6447
126 	 16.3 	 0.0010 	 -2.8458 	 -0.6425
127 	 16.4 	 0.0010 	 -4.7877 	 -0.6371
128 	 16.4 	 0.0010 	 -4.7707 	 -0.6377
129 	 16.4 	 0.0010 	 -2.6190 	 -0.6209
130 	 17.3 	 0.0010 	 -4.7262 	 -0.6123
131 	 16.4 	 0.0010 	 -2.3742 	 -0.5904
132 	 16.4 	 0.0010 	 -5.3423 	 -0.5726
133 	 16.4 	 0.0010 	 -4.0629 	 -0.5894
134 	 16.4 	 0.0010 	 -3.9912 	 -0.5925
135 	 17.2 	 0.0010 	 -4.0127 	 -0.6125
136 	 16.5 	 0.0010 	 -3.2045 	 -0.6159
137 	 16.4 	 0.0010 	 -4.5257 	 -0.5947
138 	 16.5 	 0.0010 	 -2.2637 	 -0.5709
139 	 16.4 	 0.0010 	 -4.9483 	 -0.5708
140 	 17.2 	 0.0010 	 -3.8024 	 -0.5596
141 	 16.4 	 0.0010 	 -4.2646 	 -0.5859
142 	 16.4 	 0.0010 	 -2.8489 	 -0.6094
143 	 16.5 	 0.0010 	 -6.8334 	 -0.5984
144 	 16.4 	 0.0010 	 -5.0751 	 -0.5907
145 	 17.3 	 0.0010 	 -3.7061 	 -0.5843
146 	 16.4 	 0.0010 	 -3.3463 	 -0.5824
147 	 16.4 	 0.0010 	 -3.6585 	 -0.5810
148 	 16.4 	 0.0010 	 -2.7145 	 -0.5934
149 	 16.4 	 0.0001 	 -3.7818 	 -0.6035
150 	 17.2 	 0.0001 	 -3.8544 	 -0.5997
151 	 16.4 	 0.0001 	 -2.7045 	 -0.6009
152 	 16.4 	 0.0001 	 -4.3569 	 -0.6002
153 	 16.4 	 0.0001 	 -2.8838 	 -0.6022
154 	 16.4 	 0.0001 	 -2.4925 	 -0.5978
155 	 17.3 	 0.0001 	 -3.4394 	 -0.5997
156 	 16.4 	 0.0001 	 -4.0805 	 -0.6036
157 	 16.4 	 0.0001 	 -4.7919 	 -0.6045
158 	 16.4 	 0.0001 	 -4.7577 	 -0.5966
159 	 16.4 	 0.0001 	 -3.6874 	 -0.5999
160 	 17.3 	 0.0001 	 -3.0056 	 -0.5970
161 	 16.4 	 0.0001 	 -3.8937 	 -0.6067
162 	 16.4 	 0.0001 	 -4.5514 	 -0.6028
163 	 16.4 	 0.0001 	 -6.6965 	 -0.6100
164 	 16.5 	 0.0001 	 -2.7284 	 -0.6059
165 	 17.2 	 0.0001 	 -3.2706 	 -0.6087
166 	 16.5 	 0.0001 	 -2.8538 	 -0.6059
167 	 16.4 	 0.0001 	 -5.0786 	 -0.6053
168 	 16.5 	 0.0001 	 -2.9224 	 -0.6034
169 	 16.5 	 0.0001 	 -3.0893 	 -0.6051
170 	 17.3 	 0.0001 	 -3.0162 	 -0.6090
171 	 16.5 	 0.0001 	 -5.2127 	 -0.6112
172 	 16.4 	 0.0001 	 -3.5850 	 -0.6084
173 	 16.5 	 0.0001 	 -5.3374 	 -0.6059
174 	 16.5 	 0.0001 	 -6.1157 	 -0.6094
175 	 17.3 	 0.0001 	 -3.2121 	 -0.6080
176 	 16.4 	 0.0001 	 -4.8183 	 -0.6089
177 	 16.5 	 0.0001 	 -3.5681 	 -0.6111
178 	 16.4 	 0.0001 	 -5.8189 	 -0.6089
179 	 16.5 	 0.0001 	 -1.9487 	 -0.6085
180 	 17.3 	 0.0001 	 -7.5583 	 -0.6074
181 	 16.4 	 0.0001 	 -4.3400 	 -0.6081
182 	 16.4 	 0.0001 	 -2.2351 	 -0.6030
183 	 16.5 	 0.0001 	 -2.7831 	 -0.6073
184 	 16.4 	 0.0001 	 -1.8023 	 -0.6071
185 	 17.3 	 0.0001 	 -2.4199 	 -0.6092
186 	 16.4 	 0.0001 	 -3.0279 	 -0.6105
187 	 16.5 	 0.0001 	 -3.4478 	 -0.6070
188 	 16.5 	 0.0001 	 -3.6356 	 -0.6082
189 	 16.5 	 0.0001 	 -5.2039 	 -0.6111
190 	 17.2 	 0.0001 	 -4.5650 	 -0.6091
191 	 16.4 	 0.0001 	 -3.7547 	 -0.6087
192 	 16.5 	 0.0001 	 -2.3100 	 -0.6089
193 	 16.5 	 0.0001 	 -2.5467 	 -0.6121
194 	 16.5 	 0.0001 	 -3.2649 	 -0.6023
195 	 17.2 	 0.0001 	 -2.7699 	 -0.6035
196 	 16.4 	 0.0001 	 -4.2605 	 -0.6051
197 	 16.5 	 0.0001 	 -3.5018 	 -0.6090
198 	 16.4 	 0.0001 	 -4.1980 	 -0.6088
199 	 16.5 	 0.0001 	 -2.4859 	 -0.6094
Total train time: 61.5419 minutes
Best Epoch 	 Valid Loss 	 Test Time
125 	 -0.6400 	 15.6891
Last Epoch 	 Valid Loss 	 Test Time
199 	 -0.6070 	 15.7185
